Job Title,Company Name,Location,Skills,Link,Date
ERPNext Specialist/Data Analyst,Confidential -,"Alexandria, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Business Intelligence · BI · Data Analyst · Data Mining · Power BI · Data Analysis · ERPNext · ERP Implementation · Technical Support,/jobs/p/sQk7nEB7BSrD-ERPNext-SpecialistData-Analyst-Alexandria-Egypt?o=46&l=sp&t=sj&a=python|search-v3|hpb,28 days ago
Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Computer Science · Information Technology (IT) · Odoo · Python · Telecom Engineering,/jobs/p/X9NYZLbCDGDo-Odoo-Developer-National-Technology-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb,28 days ago
Senior Backend Developer,Melior for Information Technology -,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · Computer Science · Software,/jobs/p/SZdKodoWyAai-Senior-Backend-Developer-Melior-for-Information-Technology-Cairo-Egypt?o=48&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Full stack developer [PHP - Laravel],Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Information Technology (IT) · Software Engineering · PHP · Python · Software,/jobs/p/dFoQWrZ8gGnO-Full-stack-developer-PHP---Laravel-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Odoo developer,Thaka International -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Mechanical/Electrical · Odoo Development · Software Engineering · Information Technology (IT) · Programming · HTML · jQuery · PostgreSQL,/jobs/p/m3lsVFWGIxqL-Odoo-developer-Thaka-International-Cairo-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Odoo Developer,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimePart TimeFreelance / ProjectSenior Management · 4 - 8 Yrs of Exp · IT/Software Development · Odoo · HTML · JavaScript · Python · XML · PostgreSQL · Odoo Development,/jobs/p/lv1hWmxAZdbi-Odoo-Developer-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Django,Cyparta -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Django · Python · Information Technology (IT),/jobs/p/A9KBrl8BGqST-Django-Cyparta-Giza-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Full Stack Magento Developer,Azza Fahmy Jewellery -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Java · PHP · Magento · Python · HTML,/jobs/p/5BSdJy2Ll6jR-Full-Stack-Magento-Developer-Azza-Fahmy-Jewellery-Cairo-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Backend Developer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · backend · API · Computer Science · Information Technology (IT) · Java · Programming · Python,/jobs/p/itPEzxhy5VCD-Backend-Developer-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
PHP Lead,LINK Development -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeManager · 5 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · PHP · Computer Science · Information Technology (IT) · Software Development · Engineering · Laravel · Drupal,/jobs/p/Ppcjqcdpi4au-PHP-Lead-LINK-Development-Cairo-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Telecom Engineer,OpenCode -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SMPP · INAP · HLR · Perl · PHP · Python · SS7 · Sigtran,/jobs/p/DLu9nypRdhSX-Telecom-Engineer-OpenCode-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Full Stack Developer,Engosoft -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Information Technology (IT) · developer · Computer Science · Full Stack Developer · Full Stack · Software Development · JavaScript · Stack · Laravel 5,/jobs/p/CI7pPFNxFw1u-Full-Stack-Developer-Engosoft-Cairo-Egypt?o=57&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Senior Devops Engineer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · Cloud · Computer Science · Docker · Engineering · Information Technology (IT) · Linux,/jobs/p/8utkBbbUHwff-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Full stack Developer (Django & ReactJs),Valify -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · React · Full Stack Development,/jobs/p/QT5y0yTf2qJn-Full-stack-Developer-Django-ReactJs-Valify-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
Data Scientist,Monty Mobile -,"Cairo, Egypt ",Full TimeExperienced · 1 - 10 Yrs of Exp · Engineering - Telecom/Technology · Data Science · Python · Information Technology (IT),/jobs/p/JH95wpLfTvip-Data-Scientist-Monty-Mobile-Cairo-Egypt?o=60&l=sp&t=sj&a=python|search-v3|hpb,1 month ago
